station_code,line_code,index,numbering,impl
1110138,11104,1,H47,1
1110402,11104,2,H46,1
1110403,11104,3,H45,1
1110404,11104,4,H44,1
1110405,11104,5,H43,1
1110406,11104,6,H42,1
1110407,11104,7,H41,1
1110408,11104,8,H40,1
1110409,11104,9,H39,1
1110410,11104,10,H38,1
1110411,11104,11,H37,1
1110412,11104,12,H36,1
1110413,11104,13,H35,1
1110414,11104,14,H34,1
1110415,11104,15,H33,1
1110416,11104,16,M36,1
1110417,11104,17,M35,1
1110418,11104,18,M34,1
1110419,11104,19,M33,1
1110420,11104,20,H32,1
1110421,11104,21,H31,1
1110422,11104,22,H30,1
1110423,11104,23,H29,1
1110424,11104,24,H28,1
1110425,11104,25,H27,1
1110426,11104,26,H26,1
1110427,11104,27,H25,1
1110428,11104,28,H24,1
1110429,11104,29,H23,1
1110430,11104,30,H22,1
1110431,11104,31,H21,1
1110432,11104,32,H20,1
1110433,11104,33,H19,1
1110434,11104,34,H18,1
1110434,11105,1,H18,1
1110502,11105,2,H17,1
1110503,11105,3,NULL,1
1110504,11105,4,NULL,1
1110505,11105,5,NULL,1
1110506,11105,6,K15,1
1110507,11105,7,NULL,1
1110508,11105,8,NULL,1
1110509,11105,9,NULL,1
1110510,11105,10,NULL,1
1110511,11105,11,NULL,1
1110512,11105,12,NULL,1
1110513,11105,13,NULL,1
1110327,11105,14,A13,1
1110340,11106,1,A21,1
1110602,11106,2,T22,1
1110603,11106,3,T23,1
1110604,11106,4,T24,1
1110605,11106,5,T25,1
1110606,11106,6,T26,1
1110607,11106,7,T27,1
1110608,11106,8,T28,1
1110609,11106,9,T29,1
1110610,11106,10,T30,1
1110611,11106,11,T31,1
1110612,11106,12,T32,1
1110613,11106,13,T33,1
1110614,11106,14,T34,1
1110615,11106,15,T35,1
1110616,11106,16,T36,1
1110617,11106,17,T37,1
1110618,11106,18,K23,1
1110618,11107,1,K23,1
1110702,11107,2,K24,1
1110703,11107,3,K25,1
1110704,11107,4,K26,1
1110705,11107,5,K27,1
1110706,11107,6,K28,1
1110707,11107,7,K29,1
1110708,11107,8,K30,1
1110709,11107,9,K31,1
1110710,11107,10,K32,1
1110711,11107,11,K33,1
1110712,11107,12,K34,1
1110713,11107,13,K35,1
1110714,11107,14,K36,1
1110715,11107,15,K37,1
1110716,11107,16,K38,1
1110717,11107,17,K39,1
1110718,11107,18,K40,1
1110719,11107,19,K41,1
1110720,11107,20,K42,1
1110721,11107,21,K43,1
1110722,11107,22,K44,1
1110723,11107,23,K45,1
1110724,11107,24,K46,1
1110725,11107,25,K47,1
1110726,11107,26,K48,1
1110727,11107,27,K49,1
1110728,11107,28,K50,1
1110729,11107,29,K51,1
1110730,11107,30,K52,1
1110731,11107,31,K53,1
1110731,11108,1,K53,1
1110802,11108,2,B54,1
1110803,11108,3,NULL,1
1110804,11108,4,NULL,1
1110805,11108,5,NULL,1
1110806,11108,6,NULL,1
1110807,11108,7,NULL,1
1110808,11108,8,NULL,1
1110809,11108,9,NULL,1
1110810,11108,10,NULL,1
1110811,11108,11,NULL,1
1110812,11108,12,NULL,1
1110813,11108,13,NULL,1
1110814,11108,14,NULL,1
1110815,11108,15,NULL,1
1110816,11108,16,NULL,1
1110817,11108,17,NULL,1
1110818,11108,18,NULL,1
1110819,11108,19,NULL,1
1110820,11108,20,NULL,1
1110821,11108,21,NULL,1
1110434,11109,1,H18,1
1110502,11109,2,H17,1
1110903,11109,3,H16,1
1110904,11109,4,H15,1
1110905,11109,5,AP15,1
1110906,11109,6,H14,1
1110907,11109,7,H13,1
1110908,11109,8,H12,1
1110909,11109,9,H11,1
1110910,11109,10,H10,1
1110911,11109,11,H09,1
1110912,11109,12,H08,1
1110913,11109,13,H07,1
1110914,11109,14,H06,1
1110915,11109,15,H05,1
1110916,11109,16,H04,1
1110317,11109,17,H03,1
1110918,11109,18,NULL,0
1110919,11109,19,NULL,0
1110920,11109,20,NULL,0
1110316,11109,21,H02,1
1110315,11109,22,01,1
1110906,11110,1,H14,1
1110506,11110,2,K15,1
1111003,11110,3,K16,1
1111004,11110,4,K17,1
1111005,11110,5,K18,1
1111006,11110,6,K19,1
1111007,11110,7,K20,1
1111008,11110,8,Y21,1
1111009,11110,9,Y22,1
1111010,11110,10,Y23,1
1111011,11110,11,Y24,1
1111012,11110,12,Y25,1
1111013,11110,13,K21,1
1111014,11110,14,K22,1
1110618,11110,15,K23,1
1110434,11111,1,NULL,1
1111102,11111,2,NULL,1
1111103,11111,3,NULL,1
1111104,11111,4,NULL,1
1111105,11111,5,NULL,1
1111106,11111,6,NULL,1
1111107,11111,7,NULL,1
1111108,11111,8,NULL,1
1111109,11111,9,NULL,1
1111110,11111,10,NULL,1
1111111,11111,11,NULL,1
1111112,11111,12,NULL,1
1111113,11111,13,NULL,1
1111114,11111,14,NULL,1
1111115,11111,15,NULL,1
1111117,11111,16,NULL,1
1111118,11111,17,NULL,1
1111119,11111,18,NULL,1
1111120,11111,19,NULL,1
1111121,11111,20,NULL,1
1111122,11111,21,NULL,1
