code,name,ekimemo
1123157,田尻,1233
1123158,瀬峰,1234
1123159,梅ヶ沢,1235
1123160,新田(宮城),1236
1123161,石越,1237
1123162,油島,1238
1123163,花泉,1239
1123164,清水原,1240
1123165,有壁,1241
1123167,山ノ目,1242
1123168,平泉,1243
1123169,前沢,1244
1123170,陸中折居,1245
1123171,水沢,1246
1123172,金ヶ崎,1247
1123173,六原,1248
1123175,村崎野,1249
1123177,花巻空港,1250
1123178,石鳥谷,1251
1123179,日詰,1252
1123180,紫波中央,1253
1123181,古館,1254
1123182,矢幅,1255
1123183,岩手飯岡,1256
1123184,仙北町,1257
100201,東京,1258
1130102,新橋,1259
100202,品川,1260
1130104,川崎,1261
1130105,横浜,1262
1130106,戸塚,1263
1130107,大船,1264
1130108,藤沢,1265
1130109,辻堂,1266
1130110,茅ケ崎,1267
1130111,平塚,1268
1130112,大磯,1269
1130113,二宮(JR),1270
1130114,国府津,1271
1130115,鴨宮,1272
100204,小田原,1273
1130117,早川,1274
1130118,根府川,1275
1130119,真鶴,1276
1130120,湯河原,1277
100205,熱海,1278
1130201,大崎,1279
1130202,五反田,1280
1130203,目黒,1281
1130204,恵比寿,1282
1130205,渋谷,1283
1130206,原宿,1284
2800518,明治神宮前〈原宿〉,5270
1130207,代々木,1285
1130208,新宿,1286
1130209,新大久保,1287
1130210,高田馬場,1288
1130211,目白,1289
1130212,池袋,1290
1130213,大塚(東京),1291
9930523,大塚駅前,6656
1130214,巣鴨,1292
1130215,駒込,1293
1130216,田端,1294
1130217,西日暮里,1295
1130218,日暮里,1296
1130219,鶯谷,1297
100402,上野,1298
1130221,御徒町,1299
2800105,上野広小路,5202
2800306,仲御徒町,5236
9930110,上野御徒町,6581
1130222,秋葉原,1300
1130223,神田(東京),1301
1130225,有楽町,1302
1130227,浜松町,1303
1130228,田町(東京),1304
1130230,高輪ゲートウェイ,9363
1130302,尻手,1305
1130303,矢向,1306
1130304,鹿島田,1307
1130305,平間,1308
1130306,向河原,1309
