code,id,name,name_kana,name_formal,station_size,company_code,color,symbol,closed,closed_date,impl
30016,f1643e,名鉄各務原線,めいてつかかみがはらせん,NULL,18,20,NULL,KG,0,NULL,1
30017,4790a0,名鉄広見線,めいてつひろみせん,NULL,11,20,#2E8B57,HM,0,NULL,1
30018,6af70d,名鉄小牧線,めいてつこまきせん,NULL,14,20,#FF69B4,KM,0,NULL,1
30020,901a3d,名鉄竹鼻線,めいてつたけはなせん,NULL,15,20,#DAA520,TH,0,NULL,1
30021,60c5a6,名鉄羽島線,めいてつはしません,NULL,2,20,#DAA520,TH,0,NULL,1
31001,0a02c8,近鉄難波線,きんてつなんばせん,NULL,3,21,#FF0000,A,0,NULL,1
31002,2450bd,近鉄橿原線,きんてつかしはらせん,NULL,17,21,#EEC900,B,0,NULL,1
31003,1ab09f,近鉄南大阪線,きんてつみなみおおさかせん,NULL,28,21,#006400,F,0,NULL,1
31005,a2b225,近鉄大阪線,きんてつおおさかせん,NULL,48,21,#77BBFF,D,0,NULL,1
31007,5b3e40,近鉄吉野線,きんてつよしのせん,NULL,16,21,#006400,F,0,NULL,1
31008,f7499b,近鉄湯の山線,きんてつゆのやません,NULL,10,21,#0000FF,K,0,NULL,1
31009,bc46f2,近鉄山田線,きんてつやまだせん,NULL,14,21,#40E0D0,M,0,NULL,1
31010,03f9c7,近鉄鳥羽線,きんてつとばせん,NULL,5,21,#40E0D0,M,0,NULL,1
31011,87cd16,近鉄天理線,きんてつてんりせん,NULL,4,21,#EEC900,H,0,NULL,1
31012,2f65d9,近鉄道明寺線,きんてつどうみょうじせん,NULL,3,21,#006400,N,0,NULL,1
31013,cbf1d8,四日市あすなろう鉄道内部線,よっかいちあすなろうてつどううつべせん,内部線,8,247,NULL,NULL,0,NULL,1
31014,8686a0,四日市あすなろう鉄道八王子線,よっかいちあすなろうてつどうはちおうじせん,八王子線,2,247,NULL,NULL,0,NULL,1
31015,682aed,近鉄志摩線,きんてつしません,NULL,16,21,#40E0D0,M,0,NULL,1
31016,ecf225,近鉄生駒線,きんてついこません,NULL,12,21,#FF0000,G,0,NULL,1
31017,25059f,近鉄田原本線,きんてつたわらもとせん,NULL,8,21,#EEC900,I,0,NULL,1
31018,776bbd,近鉄御所線,きんてつごせせん,NULL,4,21,#006400,P,0,NULL,1
31019,e35dc1,近鉄鈴鹿線,きんてつすずかせん,NULL,5,21,#0000FF,L,0,NULL,1
31020,788de4,近鉄奈良線,きんてつならせん,NULL,19,21,#FF0000,A,0,NULL,1
31021,765b0a,近鉄信貴線,きんてつしぎせん,NULL,3,21,#77BBFF,J,0,NULL,1
31022,391533,近鉄長野線,きんてつながのせん,NULL,8,21,#006400,O,0,NULL,1
31023,99fade,近鉄けいはんな線,きんてつけいはんなせん,NULL,8,21,#228B22,C,0,NULL,1
